latitude,longitude,acq_date,PREDICTED
33.6611,-117.4487,8/8/2018,71.20895867
33.6602,-117.4307,8/8/2018,79.51403237
33.6623,-117.4785,8/8/2018,77.1659112
33.6782,-117.4323,8/8/2018,78.99634447
33.6962,-117.4319,8/8/2018,79.66693165
33.6982,-117.4757,8/8/2018,79.96513062
33.7005,-117.5273,8/8/2018,79.87724983
33.7164,-117.4801,8/8/2018,30.8734244
33.7184,-117.523,8/8/2018,-27.40929608
33.7367,-117.5276,8/8/2018,76.36667073
33.6947,-117.4254,8/8/2018,78.89816661
33.6964,-117.4683,8/8/2018,78.7891757
33.7186,-117.5711,8/8/2018,81.17015581
33.721,-117.5812,8/8/2018,77.31301609
33.6985,-117.5204,8/8/2018,75.68774936
33.661,-117.436,8/8/2018,78.76713443
33.7146,-117.4726,8/8/2018,54.42042447
33.7164,-117.5156,8/8/2018,-92.10255369
33.7347,-117.5213,8/8/2018,79.7600519
33.6635,-117.4867,8/8/2018,76.35374772
33.679,-117.4367,8/8/2018,79.18053996
33.6815,-117.4872,8/8/2018,75.40723064
33.6804,-117.481,8/8/2018,79.65358252
33.6759,-117.4511,8/8/2018,109.3524575
33.6787,-117.4659,8/8/2018,62.43691222
33.6832,-117.4323,8/8/2018,69.0162718
33.6862,-117.4485,8/8/2018,108.6740998
33.7018,-117.4757,8/8/2018,77.20206236
33.6962,-117.445,8/8/2018,110.2579412
33.699,-117.46,8/8/2018,89.62360964
33.7044,-117.49,8/8/2018,137.4536058
33.6966,-117.5053,8/8/2018,62.05312606
33.6941,-117.4916,8/8/2018,66.47610902
33.707,-117.5039,8/8/2018,121.5413699
33.709,-117.4562,8/8/2018,72.26347898
33.7117,-117.4711,8/8/2018,90.99905376
33.7031,-117.4686,8/8/2018,87.27104967
33.7061,-117.4468,8/8/2018,72.77431618
33.6883,-117.5028,8/8/2018,95.26834078
33.6942,-117.4601,8/8/2018,86.5886863
33.6957,-117.4493,8/8/2018,95.28175923
33.6972,-117.4384,8/8/2018,126.6026337
33.6987,-117.4276,8/8/2018,123.7442354
33.7002,-117.4167,8/8/2018,83.89766678
33.6852,-117.4584,8/8/2018,74.80179612
33.6867,-117.4476,8/8/2018,103.8201005
33.6883,-117.4367,8/8/2018,136.3485427
33.6898,-117.4258,8/8/2018,139.3616559
33.6913,-117.4149,8/8/2018,91.685146
33.6763,-117.4566,8/8/2018,81.13555662
33.6778,-117.4457,8/8/2018,131.0412414
33.6793,-117.4348,8/8/2018,128.122389
33.6808,-117.4239,8/8/2018,100.0309162
33.6823,-117.4131,8/8/2018,79.86437318
33.663,-117.4868,8/8/2018,71.26040889
33.6674,-117.4548,8/8/2018,102.4052642
33.6689,-117.4439,8/8/2018,129.8978952
33.6704,-117.433,8/8/2018,111.3570529
33.6719,-117.4222,8/8/2018,80.04993695
33.6614,-117.4314,8/8/2018,72.0600326
33.66,-117.4421,8/8/2018,74.30158415
33.715,-117.5152,8/8/2018,92.5674371
33.6717,-117.491,8/8/2018,61.60681217
33.6767,-117.4397,8/8/2018,73.9966542
33.688,-117.4848,8/8/2018,71.50115202
33.6995,-117.5313,8/8/2018,66.58746186
33.6925,-117.4314,8/8/2018,84.01285929
33.7048,-117.4809,8/8/2018,82.57477817
33.7166,-117.5287,8/8/2018,78.51244913
33.708,-117.4218,8/8/2018,70.98571911
33.7193,-117.4676,8/8/2018,78.70272556
33.7311,-117.5156,8/8/2018,72.64127577
33.6634,-117.4395,8/8/2018,73.98446121
33.6747,-117.4835,8/8/2018,62.55654602
33.6788,-117.4296,8/8/2018,75.8173198
33.6914,-117.479,8/8/2018,77.29133381
33.7026,-117.5231,8/8/2018,77.41273244
33.7239,-117.5169,8/8/2018,81.47769038
33.7254,-117.506,8/8/2018,109.7244078
33.7135,-117.5261,8/8/2018,74.42214338
33.7165,-117.5042,8/8/2018,90.85698839
33.718,-117.4935,8/8/2018,89.12966947
33.7046,-117.5241,8/8/2018,67.20656806
33.7061,-117.5133,8/8/2018,100.1382399
33.7076,-117.5026,8/8/2018,89.79542509
33.7091,-117.4918,8/8/2018,87.70412989
33.7106,-117.481,8/8/2018,77.84143442
33.6972,-117.5113,8/8/2018,108.1537217
33.699,-117.4458,8/9/2018,70.27167589
33.6702,-117.4374,8/9/2018,83.63768153
33.6642,-117.4283,8/9/2018,89.5813074
33.6474,-117.4268,8/9/2018,70.75865242
33.6697,-117.435,8/9/2018,94.52945877
33.6682,-117.4239,8/9/2018,95.95399903
33.6774,-117.4227,8/9/2018,92.59239738
33.7183,-117.5179,8/9/2018,106.4311184
33.659,-117.4253,8/9/2018,69.53919026
33.6605,-117.4365,8/9/2018,86.45953917
33.6866,-117.4208,8/9/2018,90.48407781
33.6912,-117.4336,8/9/2018,73.16199166
33.704,-117.4053,8/9/2018,76.70835777
33.6892,-117.406,8/9/2018,74.6975002
